country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,update_hour,update_day_of_week,pollutant_range,air_quality_category
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",2026-07-06 10:00:00,26.0881305,87.93840336,NH3,3.0,3.0,3.0,10,Monday,0.0,Good/Satisfactory
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",2026-07-06 10:00:00,26.0881305,87.93840336,CO,13.0,14.0,13.0,10,Monday,1.0,Good/Satisfactory
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB",2026-07-06 10:00:00,26.63086,84.90051,PM2.5,20.0,61.0,37.0,10,Monday,41.0,Moderate
India,Bihar,Munger,"Town Hall, Munger - BSPCB",2026-07-06 10:00:00,25.376776,86.471523,SO2,28.0,37.0,30.0,10,Monday,9.0,Good/Satisfactory
India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",2026-07-06 10:00:00,26.1209,85.3647,NO2,16.0,23.0,21.0,10,Monday,7.0,Good/Satisfactory
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",2026-07-06 10:00:00,26.11442,85.39813,PM2.5,15.0,56.0,25.0,10,Monday,41.0,Good/Satisfactory
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",2026-07-06 10:00:00,26.11442,85.39813,SO2,0.0,16.0,7.0,10,Monday,16.0,Good/Satisfactory
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",2026-07-06 10:00:00,26.11442,85.39813,CO,12.0,13.0,13.0,10,Monday,1.0,Good/Satisfactory
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB",2026-07-06 10:00:00,26.1403345,85.3650192,NO2,0.0,14.0,4.0,10,Monday,14.0,Good/Satisfactory
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB",2026-07-06 10:00:00,26.1403345,85.3650192,CO,40.0,187.0,98.0,10,Monday,147.0,Moderate
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",2026-07-06 10:00:00,25.592539,85.227158,OZONE,20.0,52.0,32.0,10,Monday,32.0,Good/Satisfactory
India,Bihar,Patna,"Samanpura, Patna - BSPCB",2026-07-06 10:00:00,25.596727,85.085624,NH3,8.0,9.0,9.0,10,Monday,1.0,Good/Satisfactory
India,Bihar,Patna,"Samanpura, Patna - BSPCB",2026-07-06 10:00:00,25.596727,85.085624,SO2,5.0,5.0,5.0,10,Monday,0.0,Good/Satisfactory
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB",2026-07-06 10:00:00,22.348441,82.549611,PM10,3.0,21.0,9.5,10,Monday,18.0,Good/Satisfactory
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB",2026-07-06 10:00:00,22.12665,83.483212,PM10,2.0,17.0,8.0,10,Monday,15.0,Good/Satisfactory
